Jeremiah,1,1,本雅明地内阿纳托特城的司祭中，希耳克雅的儿子耶肋米亚的言行录。
Jeremiah,1,2,上主的话传给他，是在阿孟的儿子约史雅为犹大王执政第十三年；
Jeremiah,1,3,以后传给他，是在约史雅的儿子约雅金为犹大王，直到约史雅的儿子漆德克雅为犹大王第十一年年底，即直到是年五月，耶路撒冷居民被掳去充军时为止。
Jeremiah,1,4,上主对我说：
Jeremiah,1,5,「我还没有在母腹内形成你以前，我已认识了你；在你还没有出离母胎以前，我已祝圣了你，选定了你作万民的先知。」
Jeremiah,1,6,我回答说：「哎呀！我主上主！你看，我还太年轻，不会说话。」
Jeremiah,1,7,上主对我说：「你别说：我太年轻，因为我派你到那里去，你就应到那里去；我命你说甚么，你就应说甚么。
Jeremiah,1,8,你不要害怕他们，因为有我与你同在，保护你──上主的断语。」
Jeremiah,1,9,此后，上主伸出手来，触摸我的口，对我说；「看，我将我的话放在你口中；
Jeremiah,1,10,看，我今天委派你对万民和列国，执行拔除、破坏、毁灭、推翻、建设和栽培的任务。」
Jeremiah,1,11,上主的话传给我说：「耶肋米亚！你看见甚么？」我回答说：「我看见一根杏树枝。」
Jeremiah,1,12,上主对我说：「你看的对，因为我要警醒，看我的话怎样实现。」
Jeremiah,1,13,上主的话二次传给我说：「你看见甚么？」我回答说：「我看见一个沸腾的锅，它的口由北面倾倒过来。」
Jeremiah,1,14,上主对我说：「灾祸将由北方烧起，一直烧到这地上的一切居民。
Jeremiah,1,15,看啊，我必召集北方的一切国家──上主的断语──叫各国前来，在耶路撒冷城门口，在城墙四周以及犹大各城市旁，建立自己的宝座。
Jeremiah,1,16,我要向各城市的人民宣告我的判决，惩罚他们的一切罪恶，因为他们离弃我，向别的神只献香，崇拜了他们手制的作品。
Jeremiah,1,17,至于你，你要朿上腰，起来向他们传示我命令你的一切。在他们面前，你不要畏惧，免得我在他们面前令你畏惧。
Jeremiah,1,18,看啊，我今天使你成为坚城、铜墙、铁壁，以对抗犹大君王和首领，司祭和当地的人民。
Jeremiah,1,19,他们要攻击你，却不能得胜你，因为有我与你同在，协助你──上主的断语。」
