1_Kings,1,1,达味王年纪已老，虽然盖着许多被褥，仍然不觉温暖。
1_Kings,1,2,於是他的臣仆对他说：「让人为我主大王找一个年轻少女来，服侍大王，照料大王，睡在大王怀里，温暖我主大王。」
1_Kings,1,3,他们就在以色列全境，寻找美丽的少女；找着了一个叔能女子阿彼沙格，便领她到君王那里。
1_Kings,1,4,这少女非常美丽，她就照料服侍君王，君王却没有认识她。
1_Kings,1,5,那时，哈基特的儿子阿多尼雅自尊自大说：「我必要作王！」他遂为自己预备了车辆和骑兵，有五十人在他前面开道。
1_Kings,1,6,他的父亲一生从未责骂过他说：「你为什么这样做？」他出生於阿贝沙隆之后，也是个十分英俊的人。
1_Kings,1,7,他曾与责鲁雅的儿子约阿布和司祭厄贝雅塔尔商议过，他们二人都支持阿多尼雅。
1_Kings,1,8,但是司祭匝多克、约雅达的儿子贝纳雅、先知纳堂、史米、勒依，以及达味的勇士们，都不拥护阿多尼雅。
1_Kings,1,9,一天，阿多尼雅在洛革耳泉旁的左赫肋特磐石上，宰杀了牛羊和肥犊，邀请了君王的儿子们──他所有的兄弟，和所有作君王臣仆的犹大人，
1_Kings,1,10,惟独没有邀请先知纳堂、贝纳雅、勇士们和他的兄弟撒罗满。
1_Kings,1,11,纳堂对撒罗满的母亲巴特舍巴说：「你没有听说：哈基特的儿子阿多尼雅已作了王，而我们的主上达味还不知道吗？
1_Kings,1,12,现在，我给你出个主意，好保全你和你儿子撒罗满的性命。
1_Kings,1,13,你去见达味，对他说：我主大王，你不是曾向你的婢女起誓说：你的儿子撒罗满必要继我为王，坐上我的宝座吗？为什么阿多尼雅却作了王呢？
1_Kings,1,14,当你还在那里与君王说话时，，我便随后进来，证实你的话。」
1_Kings,1,15,巴特舍巴於是进了君王的内室。君王年纪已老，叔能女子阿彼沙格正在旁服侍君王。
1_Kings,1,16,巴特舍巴便俯伏叩拜君王。君王问说：「你有什么事？」
1_Kings,1,17,巴特舍巴答说：「我主，你曾指着上主你的天主向你的婢女起誓说：你的儿子撒罗满必要继我为王，坐上我的宝座。
1_Kings,1,18,但是，现在阿多尼雅已作了王，而我主大王，你还不知道。
1_Kings,1,19,他宰杀了许多牛、肥犊和羊，邀请了君王所有的儿子和厄贝雅塔尔司祭并约阿布元帅，惟独你的仆人撒罗满，他没有邀请。
1_Kings,1,20,我主大王，现在全以色列人的眼望着你，等待你通告他们，谁要坐上我主大王的宝座，继承大王。
1_Kings,1,21,不然，将来我主大王同自己的祖先长眠之后，我和我的儿子撒罗满必被列为罪犯。」
1_Kings,1,22,正当她同君王谈话时，纳堂先知进来了。
1_Kings,1,23,有人禀告君王说：「纳堂先知来了。」他来到君王面前，便俯首至地，向君王下拜。
1_Kings,1,24,纳堂说：「我主大王，想必你说过，阿多尼雅必要继我为王，坐上我的宝座。
1_Kings,1,25,因为他今天下去，宰杀了许多牛、肥犊和羊，邀请了君王所有的儿子和军官，以及厄贝雅塔尔司祭；他们在他面前吃喝，呼喊说：阿多尼雅王万岁！
1_Kings,1,26,至於你的仆人我、匝多克司祭、约雅达的儿子贝纳雅，以及你的儿子撒罗满，他都没有邀请。
1_Kings,1,27,如果这事是出於我主大王，难道你会不通告你的仆人，谁要坐上我主大王的宝座，继承大王吗？」
1_Kings,1,28,达味回答说：「快给我召巴特舍巴来！」她便进来立在君王面前。
1_Kings,1,29,君王起誓说：「救我脱离各种患难的上主永在！
1_Kings,1,30,我既然曾指着上主以色列的天主向你起誓说：你的儿子撒罗满必要继我为王，代我坐上我的宝座：今天我就要这样作。」
1_Kings,1,31,巴特舍巴遂俯伏在地，叩拜君王说：「愿我主大王达味万岁！」
