Esther,9,1,十二月，「阿达尔」月十三日，是该执行君令和上谕的那一天，也是犹太人的敌人原想歼灭犹太人的日期，却变成了犹太人制服敌人的日子。
Esther,9,2,住在薛西斯王各省各城的犹太人，都聚集起来，动手攻打那些想谋害他们的人，但没有一个人能敌挡他们，因为所有人民都害怕他们。
Esther,9,3,各省的首长，御史大臣和省长，以及为君王服务的人，都拥护犹太人，因为害怕摩尔德开。
Esther,9,4,的确，摩尔德开在王宫里已掌大权，声誉传遍各省，而摩尔德开的权力越来越大。
Esther,9,5,这样犹太人就用刀屠杀，消灭了一切敌人，任意对待了仇恨他们的人；
Esther,9,6,只在稣撒禁城，犹太人就杀死了五百人，
Esther,9,7,也杀了帕商大达、达耳丰、阿斯帕达、
Esther,9,8,颇辣达、阿达里雅、阿黎大达、
Esther,9,9,帕玛市达、阿黎赛、阿黎待与耶匝达，
Esther,9,10,即哈默大达的儿子，犹太人的仇人哈曼的十个儿子，但没有下手抢夺财物。
Esther,9,11,当天，君王就知道了在稣撒禁城内杀死的人数。
Esther,9,12,王对艾斯德尔后说：「在稣撒禁城内，犹太人已杀死五百人和哈曼的十个儿子，在帝国其他各省内，他们更将做出何事？如今你还请求什么，我必赐给你；你还要求什么，我都必履行。」
Esther,9,13,艾斯德尔答说：「如蒙大王赐恩，请恩准住在稣撒的犹太人，明天也照今天的法律行事，把哈曼的十个儿子悬在刑架上。」
Esther,9,14,王就下令照办。於是在稣撒发出了一道谕旨，要把哈曼的十个儿子悬在刑架上。
Esther,9,15,在「阿达尔」月十四日那一天，住在稣撒的犹太人又集合起来，在那里击杀了三百人，但没有下手抢夺财物。
Esther,9,16,住在君王各省的其他犹太人，也聚集起来保卫自己，摆脱敌人的侵害，把他们的七万五千仇人杀死，但没有下手抢夺财物。
Esther,9,17,这是「阿达尔」月十三日的事；十四日那天，他们安息，举行庆功的欢宴。
Esther,9,18,住在稣撒的犹太人，因为在十三十四日聚集复仇，便於十五日安息，举行庆功的欢宴。
Esther,9,19,从此以后，那些住在村庄的犹太乡民，奉「阿达尔」月十四日为庆日，欢宴庆祝，互送礼物；但居住在城市的犹太人却以「阿达尔」月十五日为庆日，互送礼物。
Esther,9,20,摩尔德开於是将这些事记录下来，并向薛西斯王各省远近的犹太人颁发文书，
Esther,9,21,通告他们应每年庆祝「阿达尔」月十四十五两天，
Esther,9,22,因为这两天是犹太人彻底摆脱仇敌的日子，而这一月为他们是化忧为喜，化凶为吉的一月，因此该以欢宴庆祝这两天，互赠礼物，救济穷困。
Esther,9,23,犹太人便把已开始举行的和摩尔德开给他们规定的事，奉为永远当守的盛典。
Esther,9,24,原来，阿加格人哈默大达的儿子哈曼，那全犹太人的仇人曾蓄意加害犹太人，要将他们灭绝，就抽出「普尔」即签，来择定铲除歼灭他们的日子。
Esther,9,25,但是君王一洞悉此事，便下谕令说：「哈曼加害犹太人想出来的阴谋，应加在他自己头上！」就判处他和他的儿子们悬在刑架上。
Esther,9,26,从此，人就援用「普尔」一名，称这两天为「普陵节」。依照这文书记载的，和他们有关此事亲身看见及经历的一切，
Esther,9,27,犹太人便给自己，给自己的子孙，给一切加入他们集会的人，规定了「每年该照规定依时庆祝这两天」为不可更改的法律；
Esther,9,28,世世代代，家家户户，各省各城，应纪念和庆祝这两天；犹太人决不可废除这两天的「普陵节」，他们的子孙也决不可忘掉这庆节。
Esther,9,29,阿彼海耳的女儿艾斯德尔后与犹太人摩尔德开，又以全权再度写了一道核准「普陵节」的文书。
Esther,9,30,然后把此文书分发给所有住在薛西斯帝国一百二十七省内的犹太人，以平和诚恳的言词，
Esther,9,31,劝他们遵照犹太人摩尔德开对这「普陵节」所规定的，依时举行。至於禁食和哀歌的吟咏等礼，则可依照他们自己及自己的后代所规定的去行。
Esther,9,32,从此，艾斯德尔的命令，便成了「普陵节」的规定，并记载於史册。
