Numbers,1,1,以色列人出埃及国后第二年二月一日，上主在西乃旷野于会幕内训示梅瑟说：
Numbers,1,2,「你们要依照以色列子民的宗族和家系，统计全会众的人口，把男丁的姓名都一一登记。
Numbers,1,3,在以色列中，凡二十岁以上能上阵作战的，你和亚郎要一队一队地统计。
Numbers,1,4,每一支派有一人同你们合作，他们都是各宗族的族长。
Numbers,1,5,那协助你们的人名如下：勒乌本支派，是舍德乌尔的儿子厄里族尔；
Numbers,1,6,西默盎支派，是族黎沙待的儿子舍路米耳；
Numbers,1,7,犹大支派，是阿米纳达布的儿子纳赫雄；
Numbers,1,8,依撒加尔支派，是族阿尔的儿子乃塔乃耳；
Numbers,1,9,则步隆支派，是赫隆的儿子厄里雅布；
Numbers,1,10,若瑟的两个儿子：厄弗辣因支派，是阿米胡得的儿子厄里沙玛；默纳协支派，是培达族尔的儿子加默里耳；
Numbers,1,11,本雅明支派，是基德敖尼的儿子阿彼丹；
Numbers,1,12,丹支派，是阿米沙待的儿子阿希厄则尔；
Numbers,1,13,阿协尔支派，是敖革兰的儿子帕革厄耳；
Numbers,1,14,加得支派，是勒乌耳的儿子厄肋雅撒夫；
Numbers,1,15,纳斐塔里支派，是厄南的儿子阿希辣。」
Numbers,1,16,这些人是由会众中选出来的，都是他们宗族的领袖，以色列的千夫长。
Numbers,1,17,梅瑟和亚郎就带着这些提名派定的人，
Numbers,1,18,于二月一日召集了全会众，人都依照宗族和家系登了记，由二十岁以上的，都一一将姓名登了记。
Numbers,1,19,上主怎样吩咐了梅瑟，梅瑟就怎样在西乃旷野统计了他们。
Numbers,1,20,以色列的长子勒乌本子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的男子，都一一将姓名登了记；
Numbers,1,21,勒乌本支派登记的，计有四万六千五百。
Numbers,1,22,西默盎子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的男子，都一一将姓名登了记，
Numbers,1,23,西默盎支派登记的，计有五万九千三百。
Numbers,1,24,加得子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的，都将姓名登了记；
Numbers,1,25,加得支派登记的，计有四万五千六百五十。
Numbers,1,26,犹大子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的，都将姓名登了记；
Numbers,1,27,犹大支派登记的，计有七万四千六百。
Numbers,1,28,依撒加尔子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的，都将姓名登了记，
Numbers,1,29,依撒加尔支派登记的，计有五万四千四百。
Numbers,1,30,则步隆子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的，都将姓名登了记；
Numbers,1,31,则步隆支派登记的，计有五万七千四百。
Numbers,1,32,若瑟的子孙：厄弗辣因子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的，都将姓名登了记；
Numbers,1,33,厄弗辣因支派登记的，计有四万五百。
Numbers,1,34,默纳协子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的男子，都一一将姓名登了记；
Numbers,1,35,默纳协支派登记的，计有三万二千二百。
Numbers,1,36,本雅明子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的，都将姓名登了记；
Numbers,1,37,本雅明支派登记的，计有三万五千四百。
Numbers,1,38,丹子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的，都将姓名登了记；
Numbers,1,39,丹支派登记的，计有六万二千七百。
Numbers,1,40,阿协尔子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的，都将姓名登了记；
Numbers,1,41,阿协尔支派登记的，计有四万一千五百。
Numbers,1,42,纳斐塔里子孙的后裔，依照宗族和家系，二十岁以上，凡能上阵作战的，都将姓名登了记；
Numbers,1,43,纳斐塔里支派登记的，计有五万三千四百：
Numbers,1,44,以上是梅瑟和亚郎并以色列的首领十二人──每宗族一人──所登记的人数。
Numbers,1,45,以色列中二十岁以上，凡能上阵作战的以色列子民，全依照宗族和家系登了记。
Numbers,1,46,全体登记的总数，是六十万三千五百五十。
Numbers,1,47,但是肋未人没有依照自己的宗派同他们一起登记，
Numbers,1,48,因为上主曾训示梅瑟说：
Numbers,1,49,「只有肋未支派，不要登记，不要将他们列在以色列子民内。
Numbers,1,50,你应派肋未人管理会幕和其中一切器皿，并一切附属物。他们要搬运会幕和其中一切器皿，在会幕中服务，住在会幕的四周。
Numbers,1,51,会幕要迁移时，肋未人拆卸；会幕要搭扎时，肋未人张搭；若俗人走近，应处死刑。
Numbers,1,52,以色列子民应分队扎营，各归本旗。
Numbers,1,53,但肋未人应在会幕四周扎营，免得以色列子民会众触犯天怒；肋未人应负责看守会幕。」
Numbers,1,54,以色列子民都照办了；上主怎样吩咐了梅瑟，他们就怎样办了。
