Matthew,5,1,耶穌一見群眾，就上了山，坐下；他的門徒上他跟前來，
Matthew,5,2,他遂開口教訓他們說：
Matthew,5,3,「神貧的人是有福的，因為天國是他們的。
Matthew,5,4,哀慟的人是有福的，因為他們要受安慰。
Matthew,5,5,溫良的人是有福的，因為他們要承受土地。
Matthew,5,6,饑渴慕義的人是有福的，因為他們要得飽飫。
Matthew,5,7,憐憫人的人是有福的，因為他們要受憐憫。
Matthew,5,8,心裏潔淨的人是有福的，因為他們要看見天主。
Matthew,5,9,締造和平的人是有福的，因為他們要稱為天主的子女。
Matthew,5,10,為義而受迫害的人是有福的，因為天國是他們的。
Matthew,5,11,幾時人為了我而辱罵迫害你們，捏造一切壞話毀謗你們，你們是有福的。
Matthew,5,12,你們歡喜踴躍罷！因為你們在天上的賞報是豐厚的，因為在你們以前的先知，人也曾這樣迫害過他們。」
Matthew,5,13,「你們是地上的鹽，鹽若失了味，可用什麼使它再鹹呢？它再毫無用途，只好拋在外邊，任人踐踏罷了。
Matthew,5,14,你們是世界的光；建在山上的城，是不能隱藏的。
Matthew,5,15,人點燈，並不是放在斗底下，而是放在燈台上，照耀屋中所有的人。
Matthew,5,16,照樣，你們的光也當在人前照耀，好使他們看見你們的善行，光榮你們在天之父。」
Matthew,5,17,「你們不要以為我來是廢除法律或先知，我來不是為廢除，而是為成全。
Matthew,5,18,我實在告訴你們：即使天地過去了，一撇或一畫也決不會從法律上過去，必待一切完成。
Matthew,5,19,所以，誰若廢除這些誡命中最小的一條，也這樣教訓人，在天國裏，他將稱為最小的；但誰若實行，也這樣教訓人，這人在天國裏將稱為大的。
Matthew,5,20,我告訴你們：除非你們的義德超過經師和法利塞人的義德，你們決進不了天國。
Matthew,5,21,你們一向聽過給古人說：『不可殺人！』誰若殺了人，應受裁判。
Matthew,5,22,我卻對你們說：凡向自己弟兄發怒的，就要受裁判；誰若向自己的弟兄說『傻子』，就要受議會的裁判；誰若說『瘋子』，就要受火獄的罰。
Matthew,5,23,所以，你若在祭壇前，要獻你的禮物時，在那裏想起你的弟兄有什麼怨你的事，
Matthew,5,24,就把你的禮物留在那裏，留在祭壇前，先去與你的弟兄和好，然後再來獻你的禮物。
Matthew,5,25,當你和你的對頭還在路上，趕快與他和解，免得對頭把你交與判官，判官交給差役，把你投在獄裏。
Matthew,5,26,我實在告訴你：非到你還了最後的一文，決不能從那裏出來。
Matthew,5,27,你們一向聽說過：『不可姦淫！』
Matthew,5,28,我卻對你們說：凡注視婦女，有意貪戀她的，他已在心裏姦淫了她。
Matthew,5,29,若是你的右眼使你跌倒，剜出它來，從你身上扔掉，因為喪失你一個肢體，比你全身投入地獄裏，為你更好；
Matthew,5,30,若你的右手使你跌倒，砍下它來，從你身上扔掉，因為喪失你一個肢體，比你全身投入地獄裏，為你更好。
Matthew,5,31,又說過：『誰若休妻，就該給她休書。』
Matthew,5,32,我卻給你們說：除了姘居外，凡休自己的妻子的，便是叫她受姦污；並且誰若娶被休的婦人，就是犯姦淫。
Matthew,5,33,你們又一向聽過對古人說：『不可發虛誓！要向上主償還你的誓願！』
Matthew,5,34,我卻對你們說：你們總不可發誓：不可指天，因為天是天主的寶座；
Matthew,5,35,不可指地，因為地是他的腳凳；不可指耶路撒冷，因為她是大王的城市；
Matthew,5,36,也不可指你的頭發誓，因為你不能使一根頭髮變白或變黑。
Matthew,5,37,你們的話該當是：是就說是，非就說非；其他多餘的，便是出於邪惡。
Matthew,5,38,你們一向聽說過：『以眼還眼，以牙還牙。』
Matthew,5,39,我卻對你們說：不要抵抗惡人；而且，若有人掌擊你的右頰，你把另一面也轉給他。
Matthew,5,40,那願與你爭訟，拿你的內衣的，你連外衣也讓給他。
Matthew,5,41,若有人強迫你走一千步，你就同他走兩千步。
Matthew,5,42,求你的，就給他；願向你借貸的，你不要拒絕。
Matthew,5,43,你們一向聽說過：『你應愛你的近人，恨你的仇人！』
Matthew,5,44,我卻對你們說：你們當愛你們的仇人，當為迫害你們的人祈禱，
Matthew,5,45,好使你們成為你們在天之父的子女，因為他使太陽上升，光照惡人，也光照善人；降雨給義人，也給不義的人。
Matthew,5,46,你們若只愛那愛你們的人，你們還有什麼賞報呢？稅吏不是也這樣作嗎？
Matthew,5,47,你們若只問候你們的弟兄，你們作了什麼特別的呢？外邦人不是也這樣作嗎？
Matthew,5,48,所以你們應當是成全的，如同你們的天父是成全的一樣。」
